1,1,NRV
2,2,Hard disk
3,3,70
4,4,26 24
5,5,23 23
6,6,tape
7,7,familiar
8,8,teacher : school
9,9,exhausted : tired
10,10,ISS
11,11,X
12,12,19 35
13,13,14
14,14,untruthful
15,15,15
16,16,Sand Dunes
17,17,47U15
18,18,27
19,19,100
20,20,427
21,21,162
22,22,"float, double, long double"
23,23,use 3.14L
24,24,"rem = fmod(3.14, 2.1);"
25,25,West
26,26,ISS
27,27,X
28,28,19 35
29,29,43
30,30,untruthful
31,31,I & III
32,32,B
33,33,Husband
34,34,5
35,35,7.2
36,36,20
37,37,A=B
38,38,96.25 km/hr
39,39,27 days
40,40,108
41,41,108
42,42,12
43,43,13
44,44,4 hours
45,45,4 hours
46,46,14700
47,47, Ratio 20 : 49 : 64.
48,48,180 degree
49,49,155 degree
50,50,19
51,51,4000
52,52,48.55 kg
53,53,FALSE
54,54,(1/8)
55,55,700 apples
56,56,20
57,57,A=B
58,58,96.25 km/hr
59,59,27 days
60,60,108
61,61,I & III
62,62,14
63,63,B
64,64,d
65,65,"42, 33"
66,66,5
67,67,8/15
68,68,7.2
69,69,Rs. 93.75
70,70,20
71,71,A=B
72,72,III only
73,73,TRUE
74,74,Q1C7A1B2F3A1B7E4
75,75,None of the statements is a known fact.
76,76,nine
77,77,500
78,78,At least one of the shows that was cancelled was an hour-long drama.
79,79,None follows
80,80,Both I and II are necessary to answer
81,81,10 days
82,82,96.25 km/hr
83,83,27 days
84,84,All gentlemen are members of the club
85,85,moggaport
86,86,108
87,87,3000
88,88,12
89,89,13
90,90,4 hours
